Linux 6.6.87.2-microsoft-standard-WSL2 (SkyBook) 	10/07/25 	_x86_64_	(16 CPU)

11:00:20     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:00:30     all    6.32    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   93.30
11:00:30       0    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:00:30       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:30       2    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:00:30       3    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:00:30       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:30       5    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
11:00:30       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:30       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:30       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:30       9    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
11:00:30      10  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:00:30      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:30      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:30      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:30      14    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:00:30      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:00:30     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:00:31     all    6.38    0.00    0.31    0.00    0.00    0.31    0.00    0.00    0.00   93.00
11:00:31       0    0.00    0.00    0.97    0.00    0.00    4.85    0.00    0.00    0.00   94.17
11:00:31       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:31       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:31       3    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:00:31       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:31       5    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
11:00:31       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:31       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:31       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:31       9    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
11:00:31      10  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:00:31      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:31      12    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:00:31      13    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:00:31      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:31      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:00:31     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:00:32     all    6.31    0.00    0.12    0.00    0.00    0.06    0.00    0.00    0.00   93.50
11:00:32       0    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
11:00:32       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:32       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:32       3    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:00:32       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:32       5    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:00:32       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:32       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:32       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:32       9    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:00:32      10  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:00:32      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:32      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:32      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:32      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:32      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:00:32     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:00:33     all    6.32    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   93.55
11:00:33       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:33       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:33       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:33       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:33       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:33       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:33       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:33       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:33       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:33       9    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
11:00:33      10  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:00:33      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:33      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:33      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:33      14    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:00:33      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:00:33     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:00:34     all    6.44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   93.56
11:00:34       0    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:00:34       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:34       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:34       3    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:00:34       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:34       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:34       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:34       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:34       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:34       9    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
11:00:34      10  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:00:34      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:34      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:34      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:34      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:34      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:00:34     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:00:35     all    6.33    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   93.36
11:00:35       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:35       1    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:00:35       2    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:00:35       3    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
11:00:35       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:35       5    0.00    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   98.02
11:00:35       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:35       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:35       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:35       9    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
